==NUM-OF-OBJ==
|Server|PCPU,1|PMem,1|Sched,1|SCSI,1|Nfs,1|Vscsi,1|Net,1|Interrupt,1|Power,1|
|PCPU|LCPU,56|Core,28|Package,2|
|PMem|NUMANode,2|
|Sched|SchedGroup,1120|
|SchedGroup|GroupID,1|GroupName,system|VMNUMANodeMem,0|CPUClient,403|HiddenWorld,0|
|CPUClient|CPUClientID,65624|VCPUName,CmdCompl-15|
|CPUClient|CPUClientID,65625|VCPUName,CmdCompl-16|
|CPUClient|CPUClientID,65626|VCPUName,CmdCompl-17|
|CPUClient|CPUClientID,65627|VCPUName,CmdCompl-18|
|CPUClient|CPUClientID,65628|VCPUName,CmdCompl-19|
|CPUClient|CPUClientID,65629|VCPUName,CmdCompl-20|
|CPUClient|CPUClientID,65630|VCPUName,CmdCompl-21|
|CPUClient|CPUClientID,65631|VCPUName,CmdCompl-22|
|CPUClient|CPUClientID,65632|VCPUName,CmdCompl-23|
|CPUClient|CPUClientID,65633|VCPUName,CmdCompl-24|
|CPUClient|CPUClientID,65634|VCPUName,CmdCompl-25|
|CPUClient|CPUClientID,65635|VCPUName,CmdCompl-26|
|CPUClient|CPUClientID,65636|VCPUName,CmdCompl-27|
|CPUClient|CPUClientID,65637|VCPUName,CmdCompl-28|
|CPUClient|CPUClientID,65638|VCPUName,CmdCompl-29|
|CPUClient|CPUClientID,65639|VCPUName,CmdCompl-30|
|CPUClient|CPUClientID,65640|VCPUName,CmdCompl-31|
|CPUClient|CPUClientID,65641|VCPUName,CmdCompl-32|
|CPUClient|CPUClientID,65642|VCPUName,CmdCompl-33|
|CPUClient|CPUClientID,65643|VCPUName,CmdCompl-34|
|CPUClient|CPUClientID,65644|VCPUName,CmdCompl-35|
|CPUClient|CPUClientID,65645|VCPUName,CmdCompl-36|
|CPUClient|CPUClientID,65646|VCPUName,CmdCompl-37|
|CPUClient|CPUClientID,65647|VCPUName,CmdCompl-38|
|CPUClient|CPUClientID,65648|VCPUName,CmdCompl-39|
